ph,Hardness,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
,204.8904555,368.5164413,564.3086542,10.37978308,86.99097046,2.963135381,0
3.716080075,129.4229205,,592.8853591,15.18001312,56.32907628,4.500656275,0
8.099124189,224.2362594,,418.6062131,16.86863693,66.42009251,3.05593375,0
8.316765884,214.3733941,356.8861356,363.2665162,18.4365245,100.3416744,4.628770537,0
9.092223456,181.1015092,310.1357375,398.4108134,11.55827944,31.99799273,4.075075425,0
5.584086638,188.3133238,326.6783629,280.4679159,8.39973464,54.91786184,2.559708228,0
10.22386216,248.0717353,393.6633955,283.6516335,13.78969532,84.60355617,2.672988737,0
8.635848719,203.3615226,303.3097712,474.6076449,12.3638167,62.79830896,4.401424715,0
,118.9885791,268.6469407,389.3755659,12.70604897,53.92884577,3.595017181,0
11.18028447,227.2314692,404.0416347,563.8854815,17.92780641,71.97660103,4.370561937,0
7.360640106,165.5207973,326.6243535,425.3834195,15.58681044,78.74001566,3.662291783,0
7.974521649,218.6933005,,364.0982305,14.5257457,76.48591118,4.011718108,0
7.119824384,156.7049933,282.3440505,347.7150273,15.92953591,79.50077834,3.445756223,0
,150.1749234,299.4157813,379.7618348,19.37080718,76.50999553,4.413974183,0
7.496232208,205.3449822,,444.6453523,13.2283111,70.30021265,4.777382337,0
6.347271761,186.7328807,364.4876872,516.7432819,11.53978119,75.07161729,4.376348291,0
7.0517858,211.0494061,,315.1412672,20.39702184,56.65160379,4.268428858,0
9.181560007,273.8138067,398.3505168,477.9746419,13.38734078,71.45736221,4.503660796,0
8.975464348,279.3571668,,431.44399,12.88875905,63.8212371,2.43608559,0
7.371050302,214.4966105,335.7544386,469.9145515,12.50916394,62.79727715,2.560299148,0
,227.4350484,,554.8200865,16.33169328,45.38281518,4.133422644,0
6.660212026,168.2837469,310.9308583,523.6712975,17.88423519,77.04231805,3.749701241,0
,215.9778587,326.9439777,436.256194,14.18906221,59.85547583,5.459250956,0
3.902475686,196.9032467,,444.4788825,16.60903316,90.18167588,4.528522696,0
5.400301781,140.7390623,328.3582407,472.8740733,11.25638117,56.93190645,4.82478639,0
6.514415093,198.7673513,323.596349,413.2904501,14.89999957,79.84784281,5.200885077,0
3.445061864,207.9262602,384.0070058,441.7858757,13.80590221,30.2845972,4.184396969,0
,145.7681806,304.0019928,298.9906665,12.72952472,49.5368488,4.004871128,0
,266.4210181,395.3894903,364.4801067,10.34895076,53.00838135,3.991564248,0
,148.1530614,307.0117926,563.8047433,16.56865557,52.67618503,6.038184953,0
7.181448581,209.6256005,338.3364311,342.1112863,7.922598333,71.53795326,5.088859989,0
9.825489908,190.7566183,,452.8362349,16.8990378,47.08197119,2.857472426,0
10.43329098,117.7912296,307.7075086,412.9868338,12.89070856,65.73347839,5.057310517,0
7.414148196,235.0445345,387.1753165,411.9833642,10.24481507,44.48929725,3.160624468,0
,232.280452,,383.981723,12.16693715,86.08072748,5.029166724,0
5.115817064,191.952743,323.8363839,441.7483793,10.96648615,49.23823132,3.902088768,0
3.641629777,183.9087223,286.059556,456.8600959,9.034066753,73.59465676,3.464353035,0
5.618064406,304.2359121,,399.4715663,12.26500158,81.58899246,2.896546941,0
,143.4537313,,427.1306715,22.46989199,53.12409422,2.907563915,0
9.267187531,198.6143947,328.0775332,396.8769491,16.47196935,30.38331457,4.324004646,0
,233.8589957,309.0393204,349.3996325,18.33889255,42.67746528,3.510004045,0
5.331940479,194.8740654,316.6751618,335.1203984,10.1805138,59.57271371,4.434820258,0
7.145771545,238.6899285,385.9756505,332.0327063,11.0931634,66.13804475,5.182590704,0
9.920691059,202.817483,337.3505291,333.1924699,23.91760126,71.83362396,4.69070723,0
4.758439425,183.3494541,,403.9441682,18.66822946,66.91240003,4.542801462,0
5.702925977,216.8504739,,504.6382604,16.14079002,77.53618352,4.137739016,0
6.953864226,209.638293,315.6065944,391.1843151,13.28533392,87.39088898,3.195710328,0
10.68296643,173.3754984,307.3525858,323.8079132,10.09086975,78.47278445,3.999775382,0
,129.8905723,304.5352242,470.3291685,18.59940992,72.40363387,4.405586,0
8.757257397,200.1914004,317.8829005,404.7177992,13.76832331,47.93087188,3.626135442,0
,168.3884308,299.8204779,383.79502,16.18206649,75.72943389,3.048057223,0
7.809631898,100.4576151,247.200826,605.2201244,9.61134874,66.08417364,2.447444464,0
6.652488091,145.0101719,288.0521917,545.9749938,10.94202426,71.72741406,3.742090426,0
9.147197055,211.7141418,339.7519188,527.70891,18.27531211,47.63488493,3.794531591,0
